Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Submitted via,Date received,Date sent to company,Company,Company response,Timely response,Consumer disputed
1331527,Debt collection,Auto,Communication tactics,Called after sent written cease of comm,IL,60443,Web,04/15/2015,04/15/2015,"Byrider Franchising, LLC",Closed with explanation,Yes,Yes
1331753,Credit reporting,,Incorrect information on credit report,Account status,LA,70170,Web,04/15/2015,04/15/2015,Equifax,Closed with explanation,Yes,
1331749,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",,DE,19808,Phone,04/15/2015,04/17/2015,Ally Financial Inc.,In progress,Yes,
1331626,Bank account or service,Checking account,"Account opening, closing, or management",,NY,10456,Web,04/15/2015,04/15/2015,JPMorgan Chase,Closed with explanation,Yes,
1331601,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,FL,33414,Web,04/15/2015,04/15/2015,Equifax,Closed with explanation,Yes,
1331702,Debt collection,Medical,Improper contact or sharing of info,Talked to a third party about my debt,OK,73115,Web,04/15/2015,04/15/2015,"American Collection Services, Inc. (OK, TX)",Closed with explanation,Yes,
1331679,Credit reporting,,Incorrect information on credit report,Personal information,IL,60402,Web,04/15/2015,04/15/2015,Equifax,Closed with explanation,Yes,
1331633,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,AZ,85035,Web,04/15/2015,04/15/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
1332112,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,CA,92656,Web,04/15/2015,04/15/2015,Citibank,In progress,Yes,
1331870,Credit card,,Billing disputes,,CA,90247,Web,04/15/2015,04/15/2015,Citibank,Closed with monetary relief,Yes,
1331772,Bank account or service,Checking account,"Account opening, closing, or management",,NY,12308,Web,04/15/2015,04/15/2015,First Niagara Bank,Closed with explanation,Yes,
1331844,Credit reporting,,Credit reporting company's investigation,Investigation took too long,NV,89148,Web,04/15/2015,04/15/2015,Equifax,In progress,Yes,
1331988,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,MD,20716,Web,04/15/2015,04/15/2015,Equifax,Closed with explanation,Yes,
1331983,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,IA,50517,Web,04/15/2015,04/15/2015,Automated Accounts Management Services,Closed with explanation,Yes,
1331937,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,KS,66062,Web,04/15/2015,04/15/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,Yes
1331893,Credit reporting,,Incorrect information on credit report,Public record,OH,43615,Web,04/15/2015,04/15/2015,Equifax,Closed with explanation,Yes,
1332046,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,NV,89129,Postal mail,04/15/2015,04/17/2015,"Convergent Resources, Inc.",Closed with explanation,Yes,
1332036,Debt collection,Auto,Improper contact or sharing of info,Contacted employer after asked not to,TX,77015,Web,04/15/2015,04/15/2015,Consumer Portfolio Services,Closed with explanation,Yes,
